Size,Processes,Time (s),Status
200,1,0.004662,OK
200,2,0.003861,OK
200,4,0.002338,OK
200,8,0.007620,OK
400,1,0.034715,OK
400,2,0.017622,OK
400,4,0.008873,OK
400,8,0.015650,OK
800,1,0.257021,OK
800,2,0.161758,OK
800,4,0.080811,OK
800,8,0.104903,OK
1200,1,0.962383,OK
1200,2,0.513997,OK
1200,4,0.321829,OK
1200,8,0.404050,OK
1600,1,2.883739,OK
1600,2,1.295905,OK
1600,4,0.789770,OK
1600,8,1.020488,OK
2000,1,4.973346,OK
2000,2,2.507570,OK
2000,4,1.567484,OK
2000,8,1.864922,OK
